variant,direction,average_precision,within_event_auc,full_average_precision,full_within_event_auc,ap_drop,within_event_auc_drop,ap_drop_pct_of_full,within_event_auc_drop_pct_of_full,passes_discriminative_check
drop_fire_geometry_features,fold0_to_fold1,0.31884383705122754,0.7341855504097313,0.394009826964637,0.7992294824892512,0.07516598991340945,0.06504393207951986,19.077186600261044,8.138329917076682,False
drop_fire_geometry_features,fold1_to_fold0,0.36195327880678824,0.7439941044430307,0.4300887302617452,0.7979818376500912,0.06813545145495697,0.05398773320706052,15.842184800678412,6.765534083588218,False
drop_stage1_threshold_features,fold0_to_fold1,0.5232156540494597,0.8286692821904668,0.394009826964637,0.7992294824892512,-0.1292058270848227,-0.029439799701215574,-32.79253923187533,-3.683522736113718,True
drop_stage1_threshold_features,fold1_to_fold0,0.44619031655684416,0.815514978470493,0.4300887302617452,0.7979818376500912,-0.016101586295098946,-0.017533140820401805,-3.7437824249195684,-2.1971854487357327,True
drop_terrain_vegetation_features,fold0_to_fold1,0.3582649737344065,0.8441902850271833,0.394009826964637,0.7992294824892512,0.03574485323023047,-0.04496080253793211,9.072071502784784,-5.625518517897866,True
drop_terrain_vegetation_features,fold1_to_fold0,0.396900191198619,0.8222272269338197,0.4300887302617452,0.7979818376500912,0.03318853906312619,-0.024245389283728436,7.7166725672928385,-3.03833848588918,True
drop_weather_drought_features,fold0_to_fold1,0.20899835710924916,0.8202016793746919,0.394009826964637,0.7992294824892512,0.18501146985538783,-0.02097219688544072,46.95605469555786,-2.624051958158685,True
drop_weather_drought_features,fold1_to_fold0,0.3971769659974715,0.8063450626226124,0.4300887302617452,0.7979818376500912,0.032911764264273724,-0.008363224972521177,7.652319614197784,-1.0480470328935463,True
drop_wind_features,fold0_to_fold1,0.405206725540861,0.8129523128356388,0.394009826964637,0.7992294824892512,-0.011196898576224024,-0.01372283034638766,-2.8417815521207705,-1.7170075237523807,True
drop_wind_features,fold1_to_fold0,0.4208476781564536,0.7844348908679853,0.4300887302617452,0.7979818376500912,0.009241052105291636,0.013546946782105884,2.148638514584578,1.697651016970403,True
no_extra_features,fold0_to_fold1,0.12658470862804985,0.766264612720064,0.394009826964637,0.7992294824892512,0.2674251183365871,0.03296486976918722,67.87270266753751,4.124581298792436,False
no_extra_features,fold1_to_fold0,0.16226101468458268,0.7356139550828882,0.4300887302617452,0.7979818376500912,0.26782771557716256,0.06236788256720305,62.27266532051813,7.815702015332192,False
