event_id,target_date,window_id,rolling_step,radius_km,naive_radius_km,candidate_count,model_candidate_count,naive_candidate_count,model_alert_count,naive_alert_count,model_true_alert_count,naive_true_alert_count,model_precision,naive_precision,alert_reduction_vs_naive,dropped_previous_alerts,dropped_previous_2km_alerts,ap,auc,fixed_3day_naive_alert_count,fixed_3day_naive_true_alert_count,fixed_3day_naive_precision,final_day_model_alert_count,final_day_model_true_alert_count,final_day_model_precision,final_day_alert_reduction_vs_fixed_naive
fire_23757491,2020-02-27,fire_23757491_2020-02-26_2020-02-28,1,3.0,4.0,522,276,456,0,456,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23757491,2020-02-28,fire_23757491_2020-02-26_2020-02-28,2,4.0,4.0,482,416,416,0,416,0,0,0.0,0.0,1.0,0,0,,,493.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_23757491,2020-02-27,fire_23757491_2020-02-27_2020-03-04,0,2.0,4.0,522,138,456,0,456,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23757491,2020-02-28,fire_23757491_2020-02-27_2020-03-04,1,3.0,4.0,482,244,416,0,416,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23757491,2020-03-04,fire_23757491_2020-02-27_2020-03-04,2,4.0,4.0,475,475,475,0,475,0,0,0.0,0.0,1.0,0,0,,,456.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_23757522,2020-02-25,fire_23757522_2020-02-25_2020-03-07,0,2.0,4.0,775,292,757,0,757,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23757522,2020-02-27,fire_23757522_2020-02-25_2020-03-07,1,3.0,4.0,462,228,396,0,396,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23757522,2020-03-07,fire_23757522_2020-02-25_2020-03-07,2,4.0,4.0,469,403,403,0,403,0,0,0.0,0.0,1.0,0,0,,,757.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_23757522,2020-02-27,fire_23757522_2020-02-27_2020-03-08,0,2.0,4.0,462,108,396,0,396,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23757522,2020-03-07,fire_23757522_2020-02-27_2020-03-08,1,3.0,4.0,469,239,403,0,403,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23757522,2020-03-08,fire_23757522_2020-02-27_2020-03-08,2,4.0,4.0,462,396,396,0,396,0,4,0.0,0.010101010101010102,1.0,0,0,0.4791208791208791,0.9853316326530612,396.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_23757522,2020-03-07,fire_23757522_2020-03-07_2020-03-09,0,2.0,4.0,469,115,403,0,403,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23757522,2020-03-08,fire_23757522_2020-03-07_2020-03-09,1,3.0,4.0,462,228,396,0,396,0,4,0.0,0.010101010101010102,1.0,0,0,0.4791208791208791,0.9743303571428572,,,,,,,
fire_23757522,2020-03-09,fire_23757522_2020-03-07_2020-03-09,2,4.0,4.0,868,802,802,0,802,0,0,0.0,0.0,1.0,0,0,,,403.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_23947000,2020-05-03,fire_23947000_2020-05-03_2020-05-05,0,2.0,4.0,1343,489,1343,46,1343,2,6,0.043478260869565216,0.004467609828741623,0.9657483246463142,0,0,0.07236474463411006,0.8792270531400965,,,,,,,
fire_23947000,2020-05-04,fire_23947000_2020-05-03_2020-05-05,1,3.0,4.0,426,250,426,1,426,0,0,0.0,0.0,0.9976525821596244,46,46,,,,,,,,,
fire_23947000,2020-05-05,fire_23947000_2020-05-03_2020-05-05,2,4.0,4.0,482,416,416,2,416,0,0,0.0,0.0,0.9951923076923077,1,1,,,1343.0,0.0,0.0,2.0,0.0,0.0,0.9985107967237528
fire_24025599,2020-05-12,fire_24025599_2020-05-12_2020-05-15,0,2.0,4.0,1433,624,1385,0,1385,0,38,0.0,0.027436823104693142,1.0,0,0,0.03547557213743108,0.6026272577996716,,,,,,,
