feature,mean_abs_shap,mean_shap
top_threshold,0.9995750727543247,-0.31287303993630705
distance_to_current_fire_px,0.7291653407753733,0.3512672763562797
elevation,0.5054182486864258,0.30195784791174773
pdsi,0.4491568082577113,0.07769021980047304
stage1_probability,0.3277441926677031,0.21098283006112362
forecast_temperature,0.2321303552295455,0.07628472224977377
forecast_wind_direction,0.19149628023762133,-0.08154571734934302
minimum_temperature,0.18349514506296205,-0.053357891363834904
specific_humidity,0.1783247825977368,0.0711024762111245
forecast_wind_speed,0.16900094590519876,-0.03850969637916853
has_current_fire,0.15909805340299243,0.08257302732521064
maximum_temperature,0.15908883885986333,-0.002737811986460687
ndvi,0.1439443094646113,0.0515770681404961
wind_direction,0.14189425451457688,0.021066603825957094
landcover_class,0.1285493627732001,0.016475956264319885
wind_speed,0.12382870302409206,0.03348714025232517
forecast_wind_alignment,0.12374024663054096,0.05789158949606053
wind_alignment,0.11196437607280682,0.01754969378426042
bearing_from_fire_deg,0.1101954054785409,0.045386368800881136
forecast_total_precipitation,0.09638040335585467,-0.019495825336818432
forecast_specific_humidity,0.08887436821935807,-0.03791940212240031
evi2,0.07180025305468603,0.007771511655864479
slope_alignment,0.06110393814614862,0.002188704120243801
energy_release_component,0.05790716986712725,0.04442591806477912
slope,0.04545934596355496,0.007576830467991665
aspect,0.030069416876619973,0.0068726242687198935
current_fire_at_candidate,0.024130884897097065,0.01721617895765243
total_precipitation,0.022160764229874178,0.00874815813705256
stage1_top_mask,0.01367790227340113,0.0053829725723134525
distance_to_current_fire_km,0.0,0.0
top_fraction,0.0,0.0
stage1_threshold_mask,0.0,0.0
threshold,0.0,0.0
