feature,mean_abs_shap,mean_shap
distance_to_current_fire_px,1.108705303096677,0.7064636591342074
pdsi,0.38350679086173745,0.18988530735756268
stage1_probability,0.3787851390166548,0.17718461022179807
forecast_wind_speed,0.35391970954001517,0.2278361894201576
forecast_wind_direction,0.3352566042436012,0.28365795052034687
has_current_fire,0.32222003542672534,0.25782338084050604
minimum_temperature,0.2727997362093601,-0.048602504571883885
specific_humidity,0.26771848175068547,0.22347558106149404
elevation,0.2635874542887573,0.023984087871954513
energy_release_component,0.26078276714387527,0.20972863138518036
ndvi,0.25392079510785553,0.1207168401785782
forecast_temperature,0.2343418224704796,0.07449488254490429
wind_alignment,0.2212844697939404,0.07056646917687995
forecast_specific_humidity,0.19466002371525978,0.16603757018431756
forecast_wind_alignment,0.1890376620062664,0.08459653096513566
slope_alignment,0.18032571535354075,0.05911502744931067
slope,0.17617294871064243,0.12926668444511272
wind_direction,0.17281868581640017,0.12524754229385188
wind_speed,0.16961189529345408,0.098280009582145
bearing_from_fire_deg,0.15960798501214288,0.07331728480300313
top_threshold,0.13667241779430964,-0.08492631191258067
maximum_temperature,0.11711421400220326,0.011514317276952693
evi2,0.11304841690849705,0.027599585882559903
forecast_total_precipitation,0.08789613589632715,0.04308270308991924
aspect,0.06711538090855451,0.01757119514777541
current_fire_at_candidate,0.03010783086623501,0.007825839721777113
stage1_top_mask,0.026800367240517108,0.005164496116915295
landcover_class,0.026411949336037185,0.005431535489925187
total_precipitation,0.011230832414741683,0.00709093267989638
stage1_threshold_mask,0.0003344809711506962,0.00014071011544529522
distance_to_current_fire_km,0.0,0.0
top_fraction,0.0,0.0
threshold,0.0,0.0
