row,variant,feature_configuration,average_precision,roc_auc,within_event_auc,ap_drop_vs_full,within_event_auc_drop_vs_full,ap_drop_percent_vs_full,within_event_auc_drop_percent_vs_full
1,full_features,Full Stage 2 feature set.,0.2510795507510707,0.8186182105957973,0.8599763440487072,0.0,0.0,0.0,0.0
2,drop_distance_features,Full set minus distance_to_current_fire_px and distance_to_current_fire_km.,0.19011214298778856,0.6951697204440599,0.6875076823644998,0.06096740776328213,0.17246866168420738,24.28210803345248,20.055047197256293
3,drop_bearing_feature,Full set minus bearing_from_fire_deg.,0.25073932752202516,0.8189408223778242,0.8600856158660859,0.00034022322904553315,-0.00010927181737874214,0.13550415715967357,-0.012706374789834128
4,drop_wind_alignment_features,Full set minus wind_alignment and forecast_wind_alignment.,0.2516560197418201,0.8174213328810099,0.8580311612151655,-0.0005764689907494236,0.0019451828335416144,-0.22959615349995416,0.22619027220956248
5,drop_slope_alignment_feature,Full set minus slope_alignment.,0.2513367992052233,0.8197658092625415,0.8605609660092673,-0.0002572484541525921,-0.0005846219605601943,-0.10245695174420537,-0.06798116769210603
6,drop_stage1_calibration_group,"Full set minus stage1_threshold_mask, stage1_top_mask, threshold, top_fraction, and top_threshold.",0.2564029688550454,0.8211822345070764,0.8588315643165971,-0.005323418103974686,0.001144779732110024,-2.1202117368978866,0.13311758399312273
7,drop_all_geometry_alignment_features,"Full set minus distance, bearing, wind alignment, forecast alignment, and slope alignment features.",0.187926065531518,0.6938684209699586,0.688544835410606,0.06315348521955269,0.1714315086381012,25.152779280764815,19.934444688445023
8,minimal_geometry_baseline,Only stage1_probability and distance_to_current_fire_km.,0.25325473614316074,0.8134966513457016,0.8578622922537084,-0.002175185392090051,0.0021140517949987947,-0.8663331544059549,0.24582673809909586
