run,filter,eligible_candidates,eligible_positives,eligible_positive_rate,max_recall_against_base,recall_target,status,score_threshold,alerts,alerts_per_base_event_day,alerts_per_eligible_event_day,true_positive_alerts,precision,recall_against_base,base_event_days,eligible_event_days
regenerated,stage1_probability_ge_0_20,1066548,113289,0.10622025450331349,0.48889416334016617,0.1,ok,0.8180444003019597,72881,33.850905712958664,44.11682808716707,23173,0.3179566690907095,0.10000215773006797,2153,1652
regenerated,stage1_probability_ge_0_20,1066548,113289,0.10622025450331349,0.48889416334016617,0.15,ok,0.7466409694034439,121880,56.609382257315374,73.7772397094431,34759,0.2851903511650804,0.15000107886503397,2153,1652
regenerated,stage1_probability_ge_0_20,1066548,113289,0.10622025450331349,0.48889416334016617,0.2,ok,0.6571940157361489,182958,84.97816999535532,110.74939467312349,46345,0.25330950272740194,0.2,2153,1652
regenerated,stage1_probability_ge_0_20,1066548,113289,0.10622025450331349,0.48889416334016617,0.25,ok,0.578825697844676,248513,115.4263817928472,150.431598062954,57932,0.23311456543520861,0.25000323659510193,2153,1652
regenerated,stage1_probability_ge_0_30,582579,81046,0.13911589672816904,0.34975078217714967,0.1,ok,0.7897875287372059,70119,32.56804458894566,47.961012311901506,23173,0.3304810393759181,0.10000215773006797,2153,1462
regenerated,stage1_probability_ge_0_30,582579,81046,0.13911589672816904,0.34975078217714967,0.15,ok,0.6715930478038664,121973,56.65257779842081,83.42886456908344,34759,0.2849729038393743,0.15000107886503397,2153,1462
regenerated,stage1_probability_ge_0_30,582579,81046,0.13911589672816904,0.34975078217714967,0.2,ok,0.5654862343922052,180455,83.81560613098003,123.43023255813954,46345,0.2568230306724668,0.2,2153,1462
regenerated,stage1_probability_ge_0_30,582579,81046,0.13911589672816904,0.34975078217714967,0.25,ok,0.4260522353128659,263090,122.19693450998606,179.95212038303694,57932,0.22019841119008704,0.25000323659510193,2153,1462
regenerated,stage1_top_mask,43164,7264,0.16828838847187472,0.03134750242744633,0.1,target_unreachable,,0,0.0,0.0,0,,0.0,0,0
regenerated,stage1_top_mask,43164,7264,0.16828838847187472,0.03134750242744633,0.15,target_unreachable,,0,0.0,0.0,0,,0.0,0,0
regenerated,stage1_top_mask,43164,7264,0.16828838847187472,0.03134750242744633,0.2,target_unreachable,,0,0.0,0.0,0,,0.0,0,0
regenerated,stage1_top_mask,43164,7264,0.16828838847187472,0.03134750242744633,0.25,target_unreachable,,0,0.0,0.0,0,,0.0,0,0
regenerated,wind_alignment_ge_0,2624075,104607,0.03986433314596572,0.45142733843996113,0.1,ok,0.7763195946981627,95877,44.53181607059916,44.53181607059916,23173,0.24169508849880575,0.10000215773006797,2153,2153
regenerated,wind_alignment_ge_0,2624075,104607,0.03986433314596572,0.45142733843996113,0.15,ok,0.6814316771904277,161342,74.93822573153739,74.93822573153739,34759,0.21543677405759196,0.15000107886503397,2153,2153
regenerated,wind_alignment_ge_0,2624075,104607,0.03986433314596572,0.45142733843996113,0.2,ok,0.5895085833327658,240208,111.56897352531351,111.56897352531351,46345,0.1929369546393126,0.2,2153,2153
regenerated,wind_alignment_ge_0,2624075,104607,0.03986433314596572,0.45142733843996113,0.25,ok,0.4714600219663294,353516,164.19693450998608,164.19693450998608,57932,0.16387377091843086,0.25000323659510193,2153,2153
regenerated,forecast_wind_alignment_ge_0,2497542,117428,0.04701742753475217,0.5067558528428093,0.1,ok,0.7877860018351067,89414,41.529958197863444,41.529958197863444,23173,0.2591652313955309,0.10000215773006797,2153,2153
regenerated,forecast_wind_alignment_ge_0,2497542,117428,0.04701742753475217,0.5067558528428093,0.15,ok,0.6951355605026635,154587,71.80074314909429,71.80074314909429,34759,0.22485073130340844,0.15000107886503397,2153,2153
regenerated,forecast_wind_alignment_ge_0,2497542,117428,0.04701742753475217,0.5067558528428093,0.2,ok,0.6085079921007079,228346,106.05945192754297,106.05945192754297,46345,0.2029595438501222,0.2,2153,2153
regenerated,forecast_wind_alignment_ge_0,2497542,117428,0.04701742753475217,0.5067558528428093,0.25,ok,0.5097831853326769,326833,151.80352995819786,151.80352995819786,57932,0.17725260301132384,0.25000323659510193,2153,2153
regenerated,distance_le_3km_and_forecast_wind_ge_0,1769556,108620,0.0613826293149242,0.4687452799654763,0.1,ok,0.7877860018351067,89414,41.529958197863444,41.54925650557621,23173,0.2591652313955309,0.10000215773006797,2153,2152
regenerated,distance_le_3km_and_forecast_wind_ge_0,1769556,108620,0.0613826293149242,0.4687452799654763,0.15,ok,0.6951355605026635,154587,71.80074314909429,71.83410780669145,34759,0.22485073130340844,0.15000107886503397,2153,2152
regenerated,distance_le_3km_and_forecast_wind_ge_0,1769556,108620,0.0613826293149242,0.4687452799654763,0.2,ok,0.6085079921007079,228344,106.05852299117511,106.10780669144981,46345,0.20296132151490734,0.2,2153,2152
regenerated,distance_le_3km_and_forecast_wind_ge_0,1769556,108620,0.0613826293149242,0.4687452799654763,0.25,ok,0.50974151706468,326149,151.48583372039016,151.55622676579927,57932,0.17762433734274824,0.25000323659510193,2153,2152
regenerated,distance_le_3km_and_stage1_probability_ge_0_10,1565187,143261,0.09152963831158832,0.6182371345344697,0.1,ok,0.8321475092072129,76120,35.35531816070599,40.48936170212766,23173,0.30442722017866525,0.10000215773006797,2153,1880
regenerated,distance_le_3km_and_stage1_probability_ge_0_10,1565187,143261,0.09152963831158832,0.6182371345344697,0.15,ok,0.7894968807675014,124455,57.80538783093358,66.19946808510639,34759,0.27928970310554013,0.15000107886503397,2153,1880
regenerated,distance_le_3km_and_stage1_probability_ge_0_10,1565187,143261,0.09152963831158832,0.6182371345344697,0.2,ok,0.7229108442934971,183021,85.00743149094286,97.35159574468085,46345,0.2532223078225996,0.2,2153,1880
regenerated,distance_le_3km_and_stage1_probability_ge_0_10,1565187,143261,0.09152963831158832,0.6182371345344697,0.25,ok,0.6545341106676615,251564,116.84347422201579,133.81063829787234,57932,0.2302873225103751,0.25000323659510193,2153,1880
tanisha_ckpt_rerun,base_future_distance_le_4km,5111847,231725,0.0453309733252971,1.0,0.1,ok,0.8404678021882992,74326,34.522062238736645,34.522062238736645,23173,0.3117751527056481,0.10000215773006797,2153,2153
tanisha_ckpt_rerun,base_future_distance_le_4km,5111847,231725,0.0453309733252971,1.0,0.15,ok,0.8220018728222218,124243,57.70692057594055,57.70692057594055,34759,0.2797662644977987,0.15000107886503397,2153,2153
tanisha_ckpt_rerun,base_future_distance_le_4km,5111847,231725,0.0453309733252971,1.0,0.2,ok,0.7979776875513173,174970,81.26799814212727,81.26799814212727,46345,0.2648739783962965,0.2,2153,2153
tanisha_ckpt_rerun,base_future_distance_le_4km,5111847,231725,0.0453309733252971,1.0,0.25,ok,0.7630094324934228,232989,108.21597770552717,108.21597770552717,57932,0.24864693182939968,0.25000323659510193,2153,2153
tanisha_ckpt_rerun,distance_le_3km,3627933,214302,0.0590699993632738,0.9248117380515698,0.1,ok,0.8404678021882992,74326,34.522062238736645,34.522062238736645,23173,0.3117751527056481,0.10000215773006797,2153,2153
tanisha_ckpt_rerun,distance_le_3km,3627933,214302,0.0590699993632738,0.9248117380515698,0.15,ok,0.8220018728222218,124243,57.70692057594055,57.70692057594055,34759,0.2797662644977987,0.15000107886503397,2153,2153
tanisha_ckpt_rerun,distance_le_3km,3627933,214302,0.0590699993632738,0.9248117380515698,0.2,ok,0.7979776875513173,174970,81.26799814212727,81.26799814212727,46345,0.2648739783962965,0.2,2153,2153
tanisha_ckpt_rerun,distance_le_3km,3627933,214302,0.0590699993632738,0.9248117380515698,0.25,ok,0.7630094324934228,232989,108.21597770552717,108.21597770552717,57932,0.24864693182939968,0.25000323659510193,2153,2153
tanisha_ckpt_rerun,distance_le_2km,2257811,187065,0.08285237338289166,0.8072715503290538,0.1,ok,0.8404678021882992,74326,34.522062238736645,34.522062238736645,23173,0.3117751527056481,0.10000215773006797,2153,2153
tanisha_ckpt_rerun,distance_le_2km,2257811,187065,0.08285237338289166,0.8072715503290538,0.15,ok,0.8220018728222218,124241,57.70599163957269,57.70599163957269,34759,0.27977076810392704,0.15000107886503397,2153,2153
