event_id,target_date,window_id,rolling_step,radius_km,candidate_count,eligible_candidate_count,selected_alert_count,previous_active_alert_count,new_alert_count,continued_alert_count,removed_alert_count,active_alert_count,removed_burned_count,removed_no_longer_candidate_count,removed_below_threshold_count
fire_24025601,2020-05-30,fire_24025601_2020-05-30_2020-06-03,0,2.0,462,108,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-02,fire_24025601_2020-05-30_2020-06-03,1,3.0,502,260,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-03,fire_24025601_2020-05-30_2020-06-03,2,4.0,530,464,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-02,fire_24025601_2020-06-02_2020-06-04,0,2.0,502,128,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-03,fire_24025601_2020-06-02_2020-06-04,1,3.0,530,279,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-04,fire_24025601_2020-06-02_2020-06-04,2,4.0,502,436,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-03,fire_24025601_2020-06-03_2020-06-06,0,2.0,530,141,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-04,fire_24025601_2020-06-03_2020-06-06,1,3.0,502,260,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-06,fire_24025601_2020-06-03_2020-06-06,2,4.0,405,339,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-04,fire_24025601_2020-06-04_2020-06-08,0,2.0,502,128,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-06,fire_24025601_2020-06-04_2020-06-08,1,3.0,405,219,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-08,fire_24025601_2020-06-04_2020-06-08,2,4.0,363,297,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-06,fire_24025601_2020-06-06_2020-06-10,0,2.0,405,118,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-08,fire_24025601_2020-06-06_2020-06-10,1,3.0,363,189,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-10,fire_24025601_2020-06-06_2020-06-10,2,4.0,407,341,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-08,fire_24025601_2020-06-08_2020-06-11,0,2.0,363,104,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-10,fire_24025601_2020-06-08_2020-06-11,1,3.0,407,220,0,0,0,0,0,0,0,0,0
fire_24025601,2020-06-11,fire_24025601_2020-06-08_2020-06-11,2,4.0,397,331,0,0,0,0,0,0,0,0,0
fire_24025605,2020-06-01,fire_24025605_2020-06-01_2020-06-07,0,2.0,724,270,17,0,17,0,0,17,0,0,0
fire_24025605,2020-06-02,fire_24025605_2020-06-01_2020-06-07,1,3.0,721,475,12,17,11,1,16,12,0,7,9
fire_24025605,2020-06-07,fire_24025605_2020-06-01_2020-06-07,2,4.0,66,0,0,12,0,0,12,0,0,12,0
fire_24025610,2020-05-30,fire_24025610_2020-05-30_2020-06-01,0,2.0,462,108,0,0,0,0,0,0,0,0,0
fire_24025610,2020-05-31,fire_24025610_2020-05-30_2020-06-01,1,3.0,462,228,0,0,0,0,0,0,0,0,0
fire_24025610,2020-06-01,fire_24025610_2020-05-30_2020-06-01,2,4.0,744,744,9,0,9,0,0,9,0,0,0
fire_24025610,2020-05-31,fire_24025610_2020-05-31_2020-06-02,0,2.0,462,108,0,0,0,0,0,0,0,0,0
fire_24025610,2020-06-01,fire_24025610_2020-05-31_2020-06-02,1,3.0,744,491,9,0,9,0,0,9,0,0,0
fire_24025610,2020-06-02,fire_24025610_2020-05-31_2020-06-02,2,4.0,1170,1170,0,9,0,0,9,0,0,3,6
fire_24025610,2020-06-01,fire_24025610_2020-06-01_2020-06-03,0,2.0,744,283,9,0,9,0,0,9,0,0,0
fire_24025610,2020-06-02,fire_24025610_2020-06-01_2020-06-03,1,3.0,1170,742,0,9,0,0,9,0,0,3,6
fire_24025610,2020-06-03,fire_24025610_2020-06-01_2020-06-03,2,4.0,1228,1228,5,0,5,0,0,5,0,0,0
fire_24025610,2020-06-02,fire_24025610_2020-06-02_2020-06-04,0,2.0,1170,407,0,0,0,0,0,0,0,0,0
fire_24025610,2020-06-03,fire_24025610_2020-06-02_2020-06-04,1,3.0,1228,785,5,0,5,0,0,5,0,0,0
fire_24025610,2020-06-04,fire_24025610_2020-06-02_2020-06-04,2,4.0,409,396,1,5,1,0,5,1,0,2,3
fire_24025610,2020-06-03,fire_24025610_2020-06-03_2020-06-05,0,2.0,1228,434,5,0,5,0,0,5,0,0,0
fire_24025610,2020-06-04,fire_24025610_2020-06-03_2020-06-05,1,3.0,409,228,1,5,1,0,5,1,0,2,3
fire_24025610,2020-06-05,fire_24025610_2020-06-03_2020-06-05,2,4.0,482,416,0,1,0,0,1,0,0,1,0
fire_24025610,2020-06-04,fire_24025610_2020-06-04_2020-06-06,0,2.0,409,108,1,0,1,0,0,1,0,0,0
fire_24025610,2020-06-05,fire_24025610_2020-06-04_2020-06-06,1,3.0,482,244,0,1,0,0,1,0,0,1,0
fire_24025610,2020-06-06,fire_24025610_2020-06-04_2020-06-06,2,4.0,492,426,0,0,0,0,0,0,0,0,0
fire_24025610,2020-06-05,fire_24025610_2020-06-05_2020-06-07,0,2.0,482,118,0,0,0,0,0,0,0,0,0
fire_24025610,2020-06-06,fire_24025610_2020-06-05_2020-06-07,1,3.0,492,250,0,0,0,0,0,0,0,0,0
fire_24025610,2020-06-07,fire_24025610_2020-06-05_2020-06-07,2,4.0,462,396,2,0,2,0,0,2,0,0,0
fire_24025610,2020-06-06,fire_24025610_2020-06-06_2020-06-08,0,2.0,492,122,0,0,0,0,0,0,0,0,0
fire_24025610,2020-06-07,fire_24025610_2020-06-06_2020-06-08,1,3.0,462,228,2,0,2,0,0,2,0,0,0
fire_24025610,2020-06-08,fire_24025610_2020-06-06_2020-06-08,2,4.0,515,449,4,2,3,1,1,4,0,1,0
fire_24025610,2020-06-07,fire_24025610_2020-06-07_2020-06-09,0,2.0,462,108,2,0,2,0,0,2,0,0,0
fire_24025610,2020-06-08,fire_24025610_2020-06-07_2020-06-09,1,3.0,515,269,4,2,3,1,1,4,0,1,0
fire_24025610,2020-06-09,fire_24025610_2020-06-07_2020-06-09,2,4.0,507,441,3,4,1,2,2,3,0,0,2
fire_24025610,2020-06-08,fire_24025610_2020-06-08_2020-06-10,0,2.0,515,134,4,0,4,0,0,4,0,0,0
