feature,importance_split,importance_gain
distance_to_current_fire_px,994,105348.64815825224
forecast_wind_speed,840,73152.77257084846
has_current_fire,119,52861.76564359665
energy_release_component,611,39340.56659626961
bearing_from_fire_deg,1603,34964.35106289387
forecast_specific_humidity,561,34153.71715581417
forecast_wind_alignment,1710,32279.81435006857
elevation,1573,31351.46031808853
wind_alignment,1613,30233.18512892723
maximum_temperature,745,29744.840681374073
stage1_probability,1135,29257.219269156456
pdsi,944,27365.856329262257
forecast_wind_direction,538,26032.346766650677
minimum_temperature,786,25037.403039991856
wind_speed,695,23729.81786519289
forecast_temperature,434,21946.026458382607
specific_humidity,836,20771.54106771946
wind_direction,655,19559.583804130554
ndvi,1245,14858.749447882175
evi2,1195,14478.99569261074
slope_alignment,1230,14405.571262598038
slope,1029,10233.147184431553
aspect,1041,9595.29485142231
forecast_total_precipitation,362,9430.063915014267
top_threshold,324,9297.832584738731
total_precipitation,101,6291.867277145386
stage1_top_mask,96,6094.0545773506165
current_fire_at_candidate,152,3612.525064945221
landcover_class,206,2783.1967029571533
stage1_threshold_mask,1,10.074700355529785
distance_to_current_fire_km,0,0.0
top_fraction,0,0.0
threshold,0,0.0
